Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,097085,2006,01,24.8
IDCJAC0003,097085,2006,02,16.5
IDCJAC0003,097085,2006,03,15.0
IDCJAC0003,097085,2006,04,6.3
IDCJAC0003,097085,2006,05,4.3
IDCJAC0003,097085,2006,06,3.8
IDCJAC0003,097085,2006,07,4.1
IDCJAC0003,097085,2006,08,6.9
IDCJAC0003,097085,2006,09,12.2
IDCJAC0003,097085,2006,10,17.9
IDCJAC0003,097085,2006,11,21.2
IDCJAC0003,097085,2006,12,22.1
IDCJAC0003,097085,2007,01,19.4
IDCJAC0003,097085,2007,02,23.7
IDCJAC0003,097085,2007,03,13.4
IDCJAC0003,097085,2007,04,10.7
IDCJAC0003,097085,2007,05,4.7
IDCJAC0003,097085,2007,06,4.7
IDCJAC0003,097085,2007,07,5.2
IDCJAC0003,097085,2007,08,7.0
IDCJAC0003,097085,2007,09,10.2
IDCJAC0003,097085,2007,10,14.3
IDCJAC0003,097085,2007,11,24.3
IDCJAC0003,097085,2007,12,20.7
IDCJAC0003,097085,2008,01,25.4
IDCJAC0003,097085,2008,02,19.3
IDCJAC0003,097085,2008,03,13.2
IDCJAC0003,097085,2008,04,8.6
IDCJAC0003,097085,2008,05,4.3
IDCJAC0003,097085,2008,06,4.1
IDCJAC0003,097085,2008,07,5.3
IDCJAC0003,097085,2008,08,6.8
IDCJAC0003,097085,2008,09,9.0
IDCJAC0003,097085,2008,10,16.2
IDCJAC0003,097085,2008,11,19.2
IDCJAC0003,097085,2008,12,20.5
IDCJAC0003,097085,2009,01,23.4
IDCJAC0003,097085,2009,02,20.2
IDCJAC0003,097085,2009,03,11.7
IDCJAC0003,097085,2009,04,8.8
IDCJAC0003,097085,2009,05,5.3
IDCJAC0003,097085,2009,06,4.2
IDCJAC0003,097085,2009,07,4.3
IDCJAC0003,097085,2009,08,5.7
IDCJAC0003,097085,2009,09,9.8
IDCJAC0003,097085,2009,10,18.6
IDCJAC0003,097085,2009,11,22.7
IDCJAC0003,097085,2009,12,20.5
IDCJAC0003,097085,2010,01,22.3
IDCJAC0003,097085,2010,02,21.1
IDCJAC0003,097085,2010,03,13.0
IDCJAC0003,097085,2010,04,6.9
IDCJAC0003,097085,2010,05,6.0
IDCJAC0003,097085,2010,06,4.3
IDCJAC0003,097085,2010,07,4.3
IDCJAC0003,097085,2010,08,6.1
IDCJAC0003,097085,2010,09,8.5
IDCJAC0003,097085,2010,10,17.3
IDCJAC0003,097085,2010,11,20.2
IDCJAC0003,097085,2010,12,20.8
IDCJAC0003,097085,2011,01,17.7
IDCJAC0003,097085,2011,02,16.6
IDCJAC0003,097085,2011,03,12.4
IDCJAC0003,097085,2011,04,9.1
IDCJAC0003,097085,2011,05,4.9
IDCJAC0003,097085,2011,06,3.9
IDCJAC0003,097085,2011,07,4.1
IDCJAC0003,097085,2011,08,6.4
IDCJAC0003,097085,2011,09,10.1
IDCJAC0003,097085,2011,10,16.6
IDCJAC0003,097085,2011,11,18.0
IDCJAC0003,097085,2011,12,26.9
IDCJAC0003,097085,2012,01,22.4
IDCJAC0003,097085,2012,02,17.1
