"test","year","month"
5.2854667282104,1966,11
4.8931611824035,1966,12
5.62090330123895,1967,1
8.87371433258051,1967,2
5.35703220367423,1967,3
3.61719999313349,1967,4
3.03948387145988,1967,5
2.08453332900994,1967,6
2.08903228759757,1967,7
2.17277415275565,1967,8
2.35653326988213,1967,9
3.82258071899409,1967,10
4.44480020523065,1967,11
5.19045162200922,1967,12
7.67509670257566,1968,1
6.7446896171569,1968,2
5.02632266998285,1968,3
2.83040006637567,1968,4
1.27638710021967,1968,5
1.29693333625788,1968,6
1.20503225326532,1968,7
1.48735483169549,1968,8
1.76813329696648,1968,9
2.81806444168085,1968,10
2.63080002784722,1968,11
5.26399993896477,1968,12
6.89161289215079,1969,1
6.11514287948596,1969,2
4.70929031372063,1969,3
2.69013334274285,1969,4
2.30929026603691,1969,5
2.03346663475029,1969,6
1.19367740154261,1969,7
2.17858062744134,1969,8
1.98559994697565,1969,9
4.74361286163325,1969,10
4.53813320159907,1969,11
4.37251596450799,1969,12
6.30851612091056,1970,1
5.92342870712273,1970,2
6.13161298751822,1970,3
3.00573337554923,1970,4
1.9122580814361,1970,5
2.23306665420522,1970,6
1.0246451711654,1970,7
2.01354837417595,1970,8
2.27333331108085,1970,9
2.64890322685236,1970,10
5.60733327865593,1970,11
5.38619354248038,1970,12
7.17548389434804,1971,1
7.84542861938464,1971,2
6.27587099075308,1971,3
3.75106666564932,1971,4
2.59096765518181,1971,5
1.61266670227046,1971,6
1.74245161056512,1971,7
1.77135484695429,1971,8
2.33040002822871,1971,9
2.82696781158441,1971,10
4.42053331375117,1971,11
4.9620643615722,1971,12
6.79070966720574,1972,1
8.70579315185539,1972,2
5.67651615142815,1972,3
3.98973329544061,1972,4
3.11870971679681,1972,5
1.81653333663935,1972,6
1.46774193763726,1972,7
2.48038706779474,1972,8
3.20293329238886,1972,9
4.46245174407954,1972,10
5.30373317718503,1972,11
5.7167741775512,1972,12
6.70838710784902,1973,1
6.33685720443715,1973,2
3.86400005340569,1973,3
3.29826665878288,1973,4
1.57690321922297,1973,5
1.89266662597649,1973,6
