year,month,gnip,precip,temp,vpd,pet,rad
1962,10,,9.426580925,6.070129013,3.29922575,2.749161339,15.59999992
1962,11,,8.614800243,8.585333481,4.537199917,4.152666645,21.58013351
1962,12,,2.616129026,11.41425797,6.382193451,4.842193699,22.33483917
1963,1,,3.155612898,13.28819344,6.827096672,4.689806366,20.58606499
1963,2,,4.31785717,11.02578552,4.942000027,3.781571426,19.04471489
1963,3,,6.462451553,10.43722572,4.705161285,2.925677385,14.48606461
1963,4,,5.68693325,7.850666656,3.076133261,1.629333301,10.22320004
1963,5,,4.634967861,5.554580822,2.946322546,0.97483871,7.461161327
1963,6,,5.5049333,4.588199844,2.458133373,0.512533345,5.345999966
1963,7,,7.398193626,3.701483765,1.854064493,0.597032261,5.198709583
1963,8,,7.604258041,4.636193695,2.534967813,1.268774204,8.52348362
1963,9,,12.9036002,6.23939991,3.348800001,2.188000059,12.90279964
1963,10,,4.061419411,10.15974216,5.253290176,3.493419361,16.87470947
1963,11,,8.654933586,8.957733345,4.888800011,3.841733303,19.18453377
1963,12,,3.903483791,11.11516151,6.47612915,5.107612896,24.26490387
1964,1,,12.64993546,10.11838715,5.055483932,3.768129063,18.10632256
1964,2,,8.45544817,11.34193123,5.243310318,3.480827608,15.92648247
1964,3,,7.418580704,9.68148365,4.544516182,2.742838717,14.13664505
1964,4,,3.988133383,9.304733238,3.201866655,1.553199997,8.809466629
1964,5,,12.94619347,6.535741806,2.003096781,0.665032265,5.641548347
1964,6,,7.00600008,4.873266754,1.895199957,0.478133342,4.879599972
1964,7,,14.99651623,3.572322598,1.303741961,0.473419368,5.002838802
1964,8,,22.49341942,4.768709755,1.603096743,0.943096766,7.141806431
1964,9,,11.3535997,5.746999893,2.163733282,1.60986671,10.68599987
1964,10,,6.871870804,7.027419395,3.123612928,2.749161339,15.88993538
1964,11,,7.032266502,8.531800041,4.431199932,3.705866756,18.82466721
1964,12,,15.21277382,8.420709648,3.670193577,3.416387072,17.53922623
1965,1,,6.208000107,10.49870964,6.01264534,4.670967674,22.13729065
1965,2,,2.766999993,12.5102145,7.261428604,4.634999943,21.2879998
1965,3,,11.32619381,9.960709763,5.09096777,2.841419315,13.62929035
1965,4,,6.62693325,6.967000084,2.989200001,1.576133308,9.809199791
1965,5,,15.00890335,6.308129082,2.092387114,0.687741947,5.578193569
1965,6,,13.00359982,5.289599915,1.625600023,0.408000005,4.394400139
1965,7,,7.469806423,3.63283865,1.562193556,0.487096779,5.51961298
1965,8,,4.24180666,5.198064575,2.239741898,1.076774168,7.775741768
1965,9,,8.323600082,6.229800072,2.330400019,1.598133287,10.52799984
1965,10,,3.813548374,7.854387245,4.682322502,3.494967747,18.81948357
1965,11,,6.629466457,7.822199898,4.497599926,3.738800106,19.4234671
1965,12,,4.242967796,12.23638733,6.36580637,5.023741913,22.95638672
1966,1,,2.390838785,12.61419373,7.658709641,5.28283884,23.92077377
1966,2,,2.625571375,12.3614999,5.85314291,3.788714199,17.71585648
1966,3,,5.790580673,12.229226,6.634580708,3.249032307,13.42090309
1966,4,,8.605466843,7.959133377,2.466000023,1.30666666,8.147333221
1966,5,,9.677161255,6.664193535,1.920903225,0.689290335,5.603354836
1966,6,,4.873600101,4.401399975,1.94119998,0.452533355,4.595866776
1966,7,,9.622322769,3.739483929,1.611483841,0.559225833,5.46825819
1966,8,,5.559354877,4.406645184,2.222580662,1.110322618,7.86735466
1966,9,,5.549200134,6.318866425,3.16133337,1.928799982,10.86999992
1966,10,,4.678193588,7.733354797,4.593677425,3.186967802,16.42851639
1966,11,,5.600933323,9.469866409,5.285466728,3.999733372,19.25373375
1966,12,,3.375483856,10.04038712,4.893161182,4.179870892,20.85199951
1967,1,,4.672129154,10.74825775,5.620903301,4.369161415,21.16800056
1967,2,,2.799000115,13.40314312,8.873714333,5.021428585,21.05071419
1967,3,,3.443999958,10.58348385,5.357032204,3.086838684,14.80567768
1967,4,,4.907866802,8.825000229,3.617199993,1.71653337,9.821599808
1967,5,,3.448387003,6.866129112,3.039483871,0.940129046,7.095741844
1967,6,,4.471599865,6.178799973,2.084533329,0.457733331,4.679733448
1967,7,,5.668645077,4.626064625,2.089032288,0.577677429,5.548516102
1967,8,,6.950193672,4.376903229,2.172774153,1.032000017,7.941935616
1967,9,,6.200533371,5.339866562,2.35653327,1.616933312,10.87639988
1967,10,,5.180128994,7.373548393,3.822580719,2.821677399,15.35741928
1967,11,,6.09106678,8.005733299,4.444800205,3.49800005,17.94280037
1967,12,,5.685935307,9.469354668,5.190451622,4.097806454,20.55393539
1968,1,,3.520129061,12.65122604,7.675096703,5.323742104,23.95948357
1968,2,,6.387586136,13.3339312,6.744689617,4.118069057,17.90786209
1968,3,,4.397806406,11.74012909,5.02632267,2.721677494,12.67045185
1968,4,,9.521333199,8.748999901,2.830400066,1.2996,7.093999958
1968,5,,13.60774162,4.704451599,1.2763871,0.516903234,4.635225773
1968,6,,11.83600033,3.887933388,1.296933336,0.386400006,4.147866783
1968,7,,8.600387001,3.862516117,1.205032253,0.429806454,4.385419559
1968,8,,12.62064491,4.110064507,1.487354832,0.828774199,6.698064518
1968,9,,9.089199905,4.876866741,1.768133297,1.339599991,9.60413353
1968,10,,9.261290512,6.085483818,2.818064442,2.323870955,13.70129032
1968,11,,12.31799999,6.669200134,2.630800028,2.453599939,14.51200008
1968,12,,3.601548347,10.26903236,5.263999939,4.345548229,21.71199989
1969,1,,6.37858057,12.43103207,6.891612892,4.756128883,21.45922661
1969,2,,7.861142883,14.02614258,6.115142879,3.784285679,15.82185707
1969,3,,4.869806461,11.5905159,4.709290314,2.823225784,13.74374226
1969,4,,8.951600418,8.38866642,2.690133343,1.325733314,7.833199959
1969,5,,4.917935438,6.467483864,2.309290266,0.76335485,5.820774364
1969,6,,5.117866631,3.884599934,2.033466635,0.491466668,5.168933277
1969,7,,10.92541962,4.879548473,1.193677402,0.423483877,4.077935505
1969,8,,8.523354759,5.398257866,2.178580627,1.100258036,7.892903099
1969,9,,9.892800217,3.809799995,1.985599947,1.395866699,9.800533295
1969,10,,3.117419338,7.825871201,4.743612862,3.355225754,17.39677437
1969,11,,4.569333267,10.2319334,4.538133202,3.626399927,18.24373383
1969,12,,6.828516197,8.954645004,4.372515965,3.727096844,18.44425789
1970,1,,3.749935522,12.93729,6.308516121,4.466451664,19.73406441
1970,2,,1.879714293,11.51578571,5.923428707,3.995857239,19.14285698
1970,3,,3.438322573,11.60122566,6.131612988,3.227225876,14.27148411
1970,4,,8.443733215,9.60806633,3.005733376,1.520400028,8.535866776
1970,5,,7.671483707,5.514516087,1.912258081,0.674193537,5.844000149
1970,6,,6.461733437,5.166400089,2.233066654,0.503733335,4.870666771
1970,7,,15.91754845,4.073806477,1.024645171,0.407741952,4.058580685
1970,8,,13.87483864,3.531871033,2.013548374,0.966322589,7.443354988
1970,9,,8.165866756,3.789533405,2.273333311,1.619466648,11.01573357
1970,10,,7.345677319,6.157225838,2.648903227,2.37793541,14.42916107
1970,11,,3.506266661,10.11346649,5.607333279,4.279066582,20.8438665
1970,12,,6.438193607,10.55922577,5.386193542,4.100258064,19.12374237
1971,1,,2.838709631,13.86683849,7.175483894,4.902322693,21.10606407
1971,2,,3.898000031,15.29621391,7.845428619,4.453142738,18.91557175
1971,3,,1.952258043,13.04251602,6.275870991,3.423483839,15.48954811
1971,4,,6.983733406,10.11233326,3.751066666,1.848799973,9.942133522
1971,5,,8.109806709,6.467483711,2.590967655,0.75974195,6.127354813
1971,6,,10.32786655,4.614199924,1.612666702,0.422533334,4.668666592
1971,7,,6.149677563,4.323870907,1.742451611,0.525419381,5.605032253
1971,8,,8.035096798,3.693225765,1.771354847,0.885161304,6.80722578
1971,9,,9.976666641,5.204133415,2.330400028,1.624666696,9.940399971
1971,10,,11.10748394,6.236774216,2.826967812,2.177806416,12.36670952
1971,11,,5.669466591,8.626866684,4.420533314,3.500800047,18.00146675
1971,12,,5.247354908,10.70522583,4.962064362,3.988387127,19.41974258
1972,1,,4.250064373,12.93974167,6.790709667,4.787999897,21.86528992
1972,2,,3.080413742,15.41510376,8.705793152,4.744827652,19.12620735
1972,3,,4.346580648,10.8049033,5.676516151,3.196903324,15.2889032
1972,4,,6.382666759,9.725066605,3.989733295,1.897733335,9.952666321
1972,5,,5.620516224,7.113225784,3.118709717,0.937806463,6.809677525
